material_id,formula,predicted_bandgap,formation_energy_per_atom,crystal_system
mp-554253,ZnS,2.001641273498535,-0.9619794758293272,Trigonal
mp-554608,ZnS,2.001428842544556,-0.9624897537139432,Trigonal
mp-10281,ZnS,2.0007693767547607,-0.9615670726562512,Hexagonal
mp-556815,ZnS,2.0003819465637207,-0.9617357624776772,Trigonal
mp-556576,ZnS,2.0134119987487797,-0.9495130923883932,Trigonal
mp-554503,ZnS,2.0026118755340576,-0.962185640870535,Trigonal
mp-555079,ZnS,2.000861167907715,-0.9626829801562492,Trigonal
mp-1183005,Ag2Se,1.1917449235916138,-0.081074481354169,Orthorhombic
mp-556732,ZnS,1.9975135326385496,-0.962344216656249,Trigonal
mp-555280,ZnS,1.9998741149902344,-0.962023470572916,Trigonal
mp-581425,ZnS,2.013911724090576,-0.962029152457838,Trigonal
mp-31053,Ag2S,1.2108913660049438,-0.113522417604166,Monoclinic
mp-556207,ZnS,1.9979360103607176,-0.96210754340625,Trigonal
